river, name, lat, lon,type
黄河,唐乃亥, 35.98042071221973, 100.15186557617318,1
黄河,龙羊峡, 36.140847488741876, 100.95206279312099,0
黄河,刘家峡, 35.83016624013763, 103.19001832495512,0
黄河,兰州,36.078293210257044, 103.81066799884331,1
黄河,下河沿,37.45710146626559, 105.05534668519875,1
黄河,石嘴山,39.25330058122821, 106.78782316993263,1
黄河,巴彦高勒,40.318315424044054, 107.0387375564773,1
黄河,三湖河口,40.614395, 108.775634,1
黄河,包头,40.55733848711463, 109.75753062858232,0
黄河,头道拐,40.2675, 111.0625,1
黄河,万家寨,39.57523570654172, 111.43997226400539,1
黄河,府谷,39.02520428475789, 111.08342777213176,1
黄河,吴堡,37.452203458863124, 110.74112127520988,1
黄河,龙门,35.65948295002932, 110.60370012712679,1
黄河,三门峡,34.79581953856745, 111.36244757487225,1
黄河,潼关,34.603328,110.327625,1
黄河,史家滩,34.82304470904156, 111.33498277725734,0
黄河,小浪底,34.92153631194314, 112.41069657113461,1
黄河,夹河滩,34.926193,114.577617,1
黄河,花园口,34.90529,113.671545,1
黄河,高村,35.38758,115.080499,1
黄河,孙口,35.936965,115.906448,1
黄河,艾山,36.251402,116.288652,1
黄河,泺口,36.721115,116.986541,1
黄河,利津,37.522265,118.304965,1
伊河,东湾,34.058099,111.975746,1
伊河,陆浑坝,34.35312502515698, 112.12499366733705,0
伊河,龙门镇,34.558244,112.470903,1
汾河,河津,35.566667,110.8,1
北洛河,状头,35.00399,109.83856,1
泾河,张家山,34.638175,108.592129,1
渭河,咸阳,34.324583,108.697357,1
渭河,华县,34.582697,109.760971,1
洛河,卢氏,34.05273,111.062207,1
洛河,故县水库,34.22061660537678, 111.27407308664426,0
洛河,长水(二),34.328056,111.44308,1
洛河,白马寺,34.710538,112.587504,1
伊洛河,黑石关,34.718651,112.930741,1
丹河,山路坪,35.237066,112.988891,1
沁河,五龙口,35.156266,112.681274,1
沁河,武陟,35.065762,113.264236,1
大汶河,戴村坝,35.9,116.466667,1
大汶河,出湖闸,36.22498768729116, 116.23765944528076,0
东平湖,东平湖老湖蓄水量,36.32498768729116, 116.13765944528076,0
