日期,河名,站名,水位,流量,含沙量
2023-04-26,黄河,唐乃亥,2671.56,502,-
2023-04-26,黄河,龙羊峡入库,-,503,-
2023-04-26,黄河,龙羊峡蓄水量,2579.88,(166)亿,-
2023-04-26,黄河,龙羊峡出库,-,519,-
2023-04-26,黄河,刘家峡入库,-,576,-
2023-04-26,黄河,刘家峡蓄水量,1730.95,(34.7)亿,-
2023-04-26,黄河,刘家峡出库,-,1120,-
2023-04-26,黄河,兰州,1511.59,1330,-
2023-04-26,黄河,下河沿,1230.05,1060,-
2023-04-26,黄河,石嘴山,1085.52,725,-
2023-04-26,黄河,巴彦高勒,1048.6,290,-
2023-04-26,黄河,三湖河口,1016.23,273,-
2023-04-26,黄河,包头,1001.25,290,-
2023-04-26,黄河,头道拐,986.03,275,-
2023-04-26,黄河,万家寨蓄水量,973.04,(4.34)亿,-
2023-04-26,黄河,万家寨上出库,-,76,-
2023-04-26,黄河,万家寨下,897.73,76,-
2023-04-26,黄河,府谷,806.71,443,-
2023-04-26,黄河,吴堡,635.72,331,-
2023-04-26,黄河,龙门,377.47,531,-
2023-04-26,汾河,河津,372.5,88.5,-
2023-04-26,北洛河,状头,360.97,24.3,-
2023-04-26,泾河,张家山,420.25,22.2,-
2023-04-26,渭河,咸阳,375.66,129,-
2023-04-26,渭河,华县(二),338.87,280,-
2023-04-26,黄河,潼关,326.01,1070,-
2023-04-26,黄河,史家滩蓄水量,316.2,(4.75)亿,-
2023-04-26,黄河,三门峡,273.89,815,-
2023-04-26,黄河,小浪底上蓄水量,262.34,(61.7)亿,-
2023-04-26,黄河,小浪底,133.53,512,-
2023-04-26,伊河,东湾,-,-,-
2023-04-26,伊河,陆浑坝上蓄水量,314.07,(4.63)亿,-
2023-04-26,伊河,陆浑坝上出库,-,-,-
2023-04-26,伊河,龙门镇,147.22,8.30,-
2023-04-26,洛河,卢氏,-,-,-
2023-04-26,洛河,故县水库蓄水量,526.39,(4.94)亿,-
2023-04-26,洛河,故县水库出库,-,-,-
