日期,站名,时间,水位(m),流量(m³/s),超警戒(m),站点编号
2023-04-26,赣州,04-26 22:00,92.25,262,-6.75,62302750
2023-04-26,吉安,04-26 22:55,46.10,1210,-4.40,62301500
2023-04-26,新干,04-26 22:00,34.80,,-2.70,62301900
2023-04-26,樟树,04-26 22:00,26.58,2820,-6.42,62302000
2023-04-26,泉港（闸下）,04-26 22:00,26.53,,-5.47,62311751
2023-04-26,丰城,04-26 22:00,26.38,,-3.22,62302100
2023-04-26,高安,04-26 22:00,23.77,242,-7.23,62312250
2023-04-26,外洲,04-26 22:00,16.54,3260,-6.96,62302250
2023-04-26,南昌,04-26 22:45,16.44,,-6.56,62302300
2023-04-26,昌邑,04-26 22:00,14.52,,-5.48,62613200
2023-04-26,廖家湾,04-26 22:45,35.95,370,-5.35,62401800
2023-04-26,娄家村,04-26 22:30,33.56,226,-5.24,62406600
2023-04-26,李家渡,04-26 22:00,23.10,628,-7.40,62402400
2023-04-26,上饶(三),04-26 22:50,64.59,,-1.41,62411400
2023-04-26,弋阳,04-26 22:00,37.79,425,-6.21,62412000
2023-04-26,梅港,04-26 22:00,20.77,831,-5.23,62413000
2023-04-26,渡峰坑（二）,04-26 22:35,22.73,224,-5.77,62501800
2023-04-26,虎山,04-26 22:30,20.18,307,-5.82,62505000
2023-04-26,鄱阳,04-26 22:00,15.26,,-4.24,62502600
2023-04-26,万家埠,04-26 22:00,20.19,135,-6.81,62517400
2023-04-26,虬津,04-26 22:00,17.17,388,-3.33,62513000
2023-04-26,永修,04-26 22:00,16.22,,-3.78,62513200
2023-04-26,星子,04-26 22:00,12.04,,-6.96,62601200
2023-04-26,湖口,04-26 22:00,11.51,7110,-7.99,62601600
2023-04-26,九江,04-26 22:00,11.98,16200,-8.02,60113400
2023-04-27,赣州,04-27 22:00,92.05,212,-6.95,62302750
2023-04-27,吉安,04-27 22:50,45.59,1500,-4.91,62301500
2023-04-27,新干,04-27 22:00,34.67,,-2.83,62301900
2023-04-27,樟树,04-27 22:35,26.22,2340,-6.78,62302000
2023-04-27,泉港（闸下）,04-27 22:35,26.17,,-5.83,62311751
2023-04-27,丰城,04-27 22:40,26.04,,-3.56,62302100
2023-04-27,高安,04-27 22:00,23.44,209,-7.56,62312250
2023-04-27,外洲,04-27 22:00,16.61,3350,-6.89,62302250
2023-04-27,南昌,04-27 22:00,16.50,,-6.50,62302300
2023-04-27,昌邑,04-27 22:00,14.60,,-5.40,62613200
2023-04-27,廖家湾,04-27 22:45,36.00,363,-5.30,62401800
2023-04-27,娄家村,04-27 22:00,33.47,198,-5.33,62406600
2023-04-27,李家渡,04-27 21:00,22.71,481,-7.79,62402400
2023-04-27,上饶(三),04-27 22:50,64.82,,-1.18,62411400
2023-04-27,弋阳,04-27 22:00,37.63,352,-6.37,62412000
2023-04-27,梅港,04-27 22:00,20.73,819,-5.27,62413000
2023-04-27,渡峰坑（二）,04-27 22:00,22.45,160,-6.05,62501800
2023-04-27,虎山,04-27 22:30,19.90,238,-6.10,62505000
2023-04-27,鄱阳,04-27 22:00,15.20,,-4.30,62502600
2023-04-27,万家埠,04-27 22:00,20.11,121,-6.89,62517400
2023-04-27,虬津,04-27 22:30,17.01,352,-3.49,62513000
2023-04-27,永修,04-27 22:00,15.96,,-4.04,62513200
2023-04-27,星子,04-27 22:00,12.00,,-7.00,62601200
2023-04-27,湖口,04-27 22:00,11.46,7940,-8.04,62601600
2023-04-27,九江,04-27 22:00,11.94,16100,-8.06,60113400
2023-04-28,赣州,04-28 22:00,92.28,270,-6.72,62302750
2023-04-28,吉安,04-28 22:50,45.89,1180,-4.61,62301500
2023-04-28,新干,04-28 22:00,34.37,,-3.13,62301900
2023-04-28,樟树,04-28 22:00,25.60,2250,-7.40,62302000
2023-04-28,泉港（闸下）,04-28 22:00,25.61,,-6.39,62311751
2023-04-28,丰城,04-28 22:35,25.60,,-4.00,62302100
2023-04-28,高安,04-28 22:00,23.45,210,-7.55,62312250
2023-04-28,外洲,04-28 22:50,16.23,2890,-7.27,62302250
2023-04-28,南昌,04-28 22:40,16.13,,-6.87,62302300
2023-04-28,昌邑,04-28 22:00,14.40,,-5.60,62613200
2023-04-28,廖家湾,04-28 22:15,35.95,348,-5.35,62401800
2023-04-28,娄家村,04-28 22:45,33.44,189,-5.36,62406600
2023-04-28,李家渡,04-28 22:00,22.89,546,-7.61,62402400
2023-04-28,上饶(三),04-28 22:25,65.13,,-0.87,62411400
2023-04-28,弋阳,04-28 22:00,37.65,362,-6.35,62412000
2023-04-28,梅港,04-28 22:00,20.73,819,-5.27,62413000
2023-04-28,渡峰坑（二）,04-28 22:40,22.27,125,-6.23,62501800
